Name,embedded setpoint,mutable setpoint,"mutable kp,ki.kd",generic typing,anti-windup,output-limit,Deadband,no_std,library/binary,Documentation,Statistics,CI,crates.io,tests,Plot,benches,Examples,RK4 Integrator,URL
bve-pid-ato,no,yes,yes,no,no,no,no,no,library,no,no,no,no,no,no,no,no,no,https://github.com/akashiyaki01c/bve-pid-ato
pid-fan-controller,no,yes,no,no,yes,yes,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/zimward/pid-fan-controller
arduino_test_dashboard,no,no,no,no,no,no,no,no,binary,no,no,no,no,no,yes,no,no,no,https://github.com/SIA-2023/arduino_test_dashboard
rust-pid-sim,no,yes,no,no,no,yes,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/joshuaPurushothaman/rust-pid-sim
rust-pid-sim-bevy,no,yes,no,no,no,yes,no,no,binary,no,no,no,no,no,no,no,yes,no,https://github.com/joshuaPurushothaman/rust-pid-sim-bevy
tiger-pid-steering-controller,yes,yes,yes,primitives,yes,yes,no,no,library,no,no,no,no,yes,no,no,no,no,https://github.com/dstaatz/tiger-pid-steering-controller
fan_configurator,no,no,no,no,no,no,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/zimward/fan_configurator
rig-pid-controller-tunner-example,no,yes,no,no,no,no,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/0xPlaygrounds/rig-pid-controller-tuner-example
pid-ec-acpi-fan-controller,no,yes,yes,no,no,no,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/tomboland/pid-ec-acpi-fan-controller
syl-2381,no,no,no,no,no,no,no,yes,library,no,no,no,no,yes,no,no,yes,no,https://github.com/cstrahan/syl-2381
2-wheeled-robot-simulation,no,yes,yes,no,no,no,no,no,binary,no,no,no,no,no,yes,no,no,no,https://github.com/gantover/2-wheeled-robot-simulation
otto-throttle,yes,no,no,no,no,yes,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/olejorga/otto-throttle
Line_Following_Car_Simulator,no,yes,no,no,yes,yes,no,no,binary,no,no,no,no,no,no,no,no,no,https://github.com/Reinhardtvbm/Line_Following_Car_Simulator
